,Pseudo-Spectral,Finite-Differences
0,0.22029709815979004,0.06746602058410645
1,0.1081080436706543,0.05141186714172363
2,0.09300589561462402,0.05070900917053223
3,0.09388303756713867,0.050280094146728516
4,0.09211301803588867,0.04982280731201172
5,0.09292387962341309,0.050195932388305664
6,0.09264707565307617,0.05008888244628906
7,0.09417009353637695,0.050312042236328125
8,0.10326004028320312,0.05114579200744629
9,0.09517812728881836,0.05058884620666504
10,0.09459495544433594,0.05237293243408203
11,0.09192395210266113,0.05034184455871582
12,0.09083294868469238,0.0496370792388916
13,0.09566187858581543,0.04861712455749512
14,0.10920286178588867,0.05850577354431152
15,0.10770702362060547,0.0552220344543457
16,0.10521888732910156,0.05725908279418945
17,0.10622906684875488,0.056998252868652344
18,0.10486292839050293,0.05770611763000488
19,0.10658884048461914,0.057231903076171875
20,0.10697031021118164,0.05579710006713867
21,0.09757590293884277,0.05033683776855469
22,0.09566020965576172,0.05057382583618164
23,0.0933237075805664,0.05021023750305176
24,0.09327387809753418,0.05050396919250488
25,0.09319686889648438,0.05008411407470703
26,0.09288311004638672,0.05031299591064453
27,0.09317994117736816,0.05023002624511719
28,0.09298992156982422,0.05094289779663086
29,0.09656715393066406,0.05092287063598633
30,0.09048914909362793,0.04902791976928711
31,0.09328103065490723,0.051339149475097656
32,0.0900120735168457,0.05250382423400879
33,0.09834480285644531,0.0525660514831543
34,0.10500288009643555,0.05735278129577637
35,0.10666084289550781,0.057190895080566406
36,0.10713815689086914,0.0566709041595459
37,0.10575604438781738,0.058013916015625
38,0.10659670829772949,0.056964874267578125
39,0.10634303092956543,0.05640697479248047
40,0.10687589645385742,0.053835153579711914
41,0.09341692924499512,0.05071425437927246
42,0.09361004829406738,0.05032706260681152
43,0.09349894523620605,0.05083584785461426
44,0.0930321216583252,0.05020904541015625
45,0.0939171314239502,0.050927162170410156
46,0.09277176856994629,0.05085897445678711
47,0.0928349494934082,0.05163884162902832
48,0.09332704544067383,0.05139303207397461
49,0.09717702865600586,0.05151629447937012
50,0.09618616104125977,0.051156044006347656
51,0.09316778182983398,0.05012106895446777
52,0.09403085708618164,0.049963951110839844
53,0.10634899139404297,0.05890607833862305
54,0.10947775840759277,0.05906367301940918
55,0.11242079734802246,0.05741095542907715
56,0.11043095588684082,0.05548524856567383
57,0.11032772064208984,0.05709695816040039
58,0.10898804664611816,0.056826114654541016
59,0.11162018775939941,0.05834507942199707
60,0.09677791595458984,0.051486968994140625
61,0.09773898124694824,0.05014991760253906
62,0.09453177452087402,0.050196170806884766
63,0.09395503997802734,0.04996609687805176
64,0.09276294708251953,0.04963564872741699
65,0.09624981880187988,0.051194190979003906
66,0.09731698036193848,0.05202794075012207
67,0.10059070587158203,0.05339193344116211
68,0.10109210014343262,0.05036807060241699
69,0.09484410285949707,0.050737857818603516
70,0.0951223373413086,0.05015707015991211
71,0.09484195709228516,0.05078911781311035
72,0.10008978843688965,0.05552196502685547
73,0.10488700866699219,0.057260990142822266
74,0.10384774208068848,0.05749797821044922
75,0.1063699722290039,0.05790591239929199
76,0.10686779022216797,0.055967092514038086
77,0.10516095161437988,0.05744290351867676
78,0.10819673538208008,0.057698965072631836
79,0.10052728652954102,0.04993724822998047
80,0.09421610832214355,0.05083727836608887
81,0.09321403503417969,0.0502619743347168
82,0.0939490795135498,0.050755977630615234
83,0.09462881088256836,0.05046391487121582
84,0.09542584419250488,0.05083179473876953
85,0.09573769569396973,0.051097869873046875
86,0.09288787841796875,0.05021381378173828
87,0.09804296493530273,0.05021095275878906
