,Vanilla KNN,Vanilla CNN,Vanilla MLP,Vanilla LM,Residual PCR,Residual MLP,Residual KNN
0,0.23208868503570557,0.18588346242904663,0.13545890152454376,0.08938102424144745,0.08935538679361343,0.08915559202432632,0.08551551401615143
1,0.23381736874580383,0.19629475474357605,0.13685329258441925,0.09196554869413376,0.09195268899202347,0.09145475178956985,0.08867614716291428
2,0.22274215519428253,0.18913976848125458,0.13256551325321198,0.08841407299041748,0.08839842677116394,0.08787974715232849,0.08455995470285416
3,0.23035211861133575,0.19409438967704773,0.13932284712791443,0.09256210923194885,0.09252138435840607,0.09174027293920517,0.08888321369886398
4,0.2345804125070572,0.23603765666484833,0.13702011108398438,0.09076524525880814,0.09077846258878708,0.08954096585512161,0.08712801337242126
5,0.22994446754455566,0.1957857459783554,0.13673093914985657,0.09094347059726715,0.09094014018774033,0.08940952271223068,0.08692823350429535
6,0.23177534341812134,0.1915757805109024,0.1383601874113083,0.09240632504224777,0.09237128496170044,0.09118533879518509,0.08854453265666962
7,0.23345060646533966,0.19424498081207275,0.13997340202331543,0.09183871746063232,0.09180787950754166,0.09172626584768295,0.08829663693904877
8,0.2260884791612625,0.18035852909088135,0.13364076614379883,0.08895624428987503,0.0889374166727066,0.0877634584903717,0.08535557985305786
9,0.22282010316848755,0.19239340722560883,0.13003098964691162,0.0865313932299614,0.08652443438768387,0.08537070453166962,0.08248791843652725
